Model,Accuracy_train,Accuracy_test,Precision_test,Recall_test,F1_test
XGBoost Classifier,0.9088166144300202,0.894805627846454,0.8582142341907995,0.9459694016715849,0.8999116347736115
Decision Tree Classifier,0.86238929502871,0.8593456640951761,0.816552712455602,0.9273747669459917,0.8682025184576967
Gradient Boost Classifier,0.8843770770369923,0.8784225415930849,0.8458346402217538,0.925735926749957,0.8838899403033385
Logistic Regressor,0.8723593448563612,0.8719555139882889,0.8600042077078651,0.8886179726317964,0.8740151225211747
